Category,Subcategory,Subcategory2,Command,Notes
Events,Gathering Sector Events,,EVENT ORCHID_TERRAFORMERS,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_PETITION,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_KERNEL_FOREST,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_MEGATREE,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_REFUGEES,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_ESCAPE,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_MERCENARY,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_SLAVES,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_INSULT,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_FIELD,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_THEFT,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_SACRIFICE,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_ELITEDUEL,[!] 
Events,Gathering Sector Events,,EVENT DISTRESS_ORCHID_NOTPIRATES,[!] 
Events,Gathering Sector Events,,EVENT DISTRESS_ORCHID_WEEDS,[!] 
Events,Gathering Sector Events,,EVENT DISTRESS_ORCHID_JUNGLE,[!] 
Events,Gathering Sector Events,,EVENT DISTRESS_ORCHID_ROCK_CRASH,[!] 
Events,Gathering Sector Events,,EVENT DISTRESS_ORCHID_EMPTY_SHIP,[!] 
Events,Gathering Sector Events,,EVENT DISTRESS_ORCHID_COLONY_FIRE,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_ZOLTAN_QUEST_START,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_ZOLTAN_QUEST_FINISH,
Events,Gathering Sector Events,,EVENT ENCOUNTER_PIRATE_ORCHID,[!] 
Events,Gathering Sector Events,,EVENT ENCOUNTER_ROCK_ORCHID,[!] 
Events,Gathering Sector Events,,EVENT ENCOUNTER_REBEL_ORCHID,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_PIRATE_FRIENDLY_ASB,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_CAPTURED_REBEL,[!] 
Events,Gathering Sector Events,,EVENT ORCHID_SUZERAIN_VETERAN,[!] 
Events,Gathering Sector Events,,EVENT CARETAKER_PRAETOR_ARGUMENT,[!] 
Events,Gathering Sector Events,,EVENT GARDEN_INVASION_QUEST,
Events,Gathering Sector Events,,EVENT ORCHID_RELOCATION_QUEST,
Events,Gathering Sector Events,,EVENT GARDEN_WORLD_CRUISER_QUEST,
Events,Gathering Sector Events,,EVENT GATHERING_LOW_TRAFFIC,
Events,Geniocracy Sector Events,,EVENT FINISH_BEACON_SHELL,
Events,Geniocracy Sector Events,,EVENT SHELL_VAMPWEED_HEALTH,[!] 
Events,Geniocracy Sector Events,,EVENT SHELL_CLAN_CHOICE,[!] 
Events,Geniocracy Sector Events,,EVENT ENCOUNTER_SHELL,[!] 
Events,Geniocracy Sector Events,,EVENT ENCOUNTER_CLAN_SHELL_CLEARING,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_CULTIVATOR_LAB,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_LIGHT_SHELL_FISHING,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_LIGHT_SHELL_FOSSILS,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_TOXINTEST,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_SUZERAIN,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_COALITION_RECRUITER,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_CLAN_LODGE,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_HIDING,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_ZOLTAN_TOXIN,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_ADBUCTION,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_NEUROTOXINLAB,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_MERCENARY,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_IMMUNITY,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_HIDDEN_COLONY,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_DISTRESS_SHELL_CHOICE,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_DISTRESS_SHELL_SUFFOCATING,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_CIVILIAN,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_MANAGEMENT,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_MILITARY,
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_STORM,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_CLAN_SHELL,
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_SLUG,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_AUTO,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_SMUGGLER,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SHELL_ELITE,[!] 
Events,Geniocracy Sector Events,,EVENT NEBULA_SHELL_UNIQUE_LAB,[!] 
Events,Geniocracy Science District Events,,EVENT MORPH_ZOLTAN,[!] 
Events,Geniocracy Science District Events,,EVENT MORPH_SLUG,[!] 
Events,Geniocracy Science District Events,,EVENT MORPH_RUINS,[!] 
Events,Geniocracy Science District Events,,EVENT MORPH_PIRATE_INSANE,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_LIGHT_MORPH_SOLAR,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_JUICE,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_PEEPEEPOOPOO,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_ENGINEER_TECHNO,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_SMUGGLER_CONFUSED,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_FREEGUN,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_SHELL_REFUGEE_SCIENCE,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_SHELL_REFUGEE_IMPOSTOR,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_AUTOSCIENCECHOICE,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_DISTRESS_MORPH_REBEL_JAMMED,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_DISTRESS_MORPH_SLICE,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_ENCOUNTER_MORPH,
Events,Geniocracy Science District Events,,EVENT NEBULA_ENCOUNTER_REBEL_MORPH,
Events,Geniocracy Science District Events,,EVENT NEBULA_ENCOUNTER_AUTO_MORPH,
Events,Geniocracy Science District Events,,EVENT NEBULA_ENCOUNTER_SHELL_SCIENTIST_MORPH,[!] 
Events,Geniocracy Science District Events,,EVENT MORPH_SITE_DELTA,[!] 
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_SITE_ALPHA,[!] 
Events,Geniocracy Science District Events,,EVENT ENCOUNTER_OOJMAJOO,
Events,Geniocracy Science District Events,,EVENT NEBULA_MORPH_SITE_OMEGA,[!] 
Events,Hacker Sector Events,,EVENT FINISH_BEACON_HACKER,
Events,Hacker Sector Events,,EVENT HACKED_CIVILIANS_FREECREW,[!] 
Events,Hacker Sector Events,,EVENT HACKER_CIVILIAN_STATION,[!] 
Events,Hacker Sector Events,,EVENT HACKED_MILITIA,[!] 
Events,Hacker Sector Events,,EVENT HACKER_OFFER,[!] 
Events,Hacker Sector Events,,EVENT HACKED_PDS,[!] 
Events,Hacker Sector Events,,EVENT HACKED_HOSTAGES,[!] 
Events,Hacker Sector Events,,EVENT HACKED_CIVILIAN_WRECK_TRAP,[!] 
Events,Hacker Sector Events,,EVENT HACKED_FLEET_SPY,[!] 
Events,Hacker Sector Events,,EVENT HACKED_FANCY_CLASS,[!] 
Events,Hacker Sector Events,,EVENT NEBULA_LOST_SHIP_HACKER,[!] ---unused
Events,Hacker Sector Events,,EVENT DISTRESS_HACKER_TRAP,
Events,Hacker Sector Events,,EVENT DISTRESS_HACKER_MILITIA,[!] 
Events,Hacker Sector Events,,EVENT QUEST_HACKER_HOSPITAL,[!] 
Events,Hacker Sector Events,,EVENT QUEST_HACKER_HOSPITAL_DESTINATION,
Events,Hacker Sector Events,,EVENT ENCOUNTER_HACKER,
Events,Hacker Sector Events,,EVENT ENCOUNTER_HACKER_PIRATE,
Events,Hacker Sector Events,,EVENT ENCOUNTER_HACKER_REBEL,
Events,Hacker Sector Events,,EVENT ENCOUNTER_HACKER_AUTO,[!] 
Events,Hacker Sector Events,,EVENT HACKER_O2_JAM,[!] 
Events,Hacker Sector Events,,EVENT HACKER_CACHE,
Events,Hacker Sector Events,,EVENT HACKER_FED_DISTRESS,
Events,Harmony Sector Events,,EVENT FINISH_BEACON_ENGI,
Events,Harmony Sector Events,,EVENT FINISH_BEACON_HARMONY,
Events,Harmony Sector Events,,EVENT ENGI_GIFT,
Events,Harmony Sector Events,,EVENT ENGI_SALVAGER,[!] 
Events,Harmony Sector Events,,EVENT ENGI_AID,[!] 
Events,Harmony Sector Events,,EVENT ENGI_FLEET_DELAY_MV,[!] 
Events,Harmony Sector Events,,EVENT ENGI_SURRENDER_MV,[!] 
Events,Harmony Sector Events,,EVENT HARMONY_SEARCH,[!] 
Events,Harmony Sector Events,,EVENT ENGI_ADVISORY,[!] 
Events,Harmony Sector Events,,EVENT ENGI_IMPLANT_UNION,[!] 
Events,Harmony Sector Events,,EVENT ENGI_VS_VAMPWEED,[!] 
Events,Harmony Sector Events,,EVENT ENGI_SEX,[!] 
Events,Harmony Sector Events,,EVENT ENGI_DECONSTRUCTOR_JUNKYARD,[!] 
Events,Harmony Sector Events,,EVENT ENGI_VIRUS,[!] 
Events,Harmony Sector Events,,EVENT ENGI_COMPLEX,[!] 
Events,Harmony Sector Events,,EVENT DISTRESS_ENGI_SALVAGE,[!] 
Events,Harmony Sector Events,,EVENT DISTRESS_ENGI_HACKER,
Events,Harmony Sector Events,,EVENT DISTRESS_ENGI_REACTOR,[!] 
Events,Harmony Sector Events,,EVENT DISTRESS_ENGI_REBEL,[!] 
Events,Harmony Sector Events,,EVENT DISTRESS_ENGI_PARTY,[!] 
Events,Harmony Sector Events,,EVENT DISTRESS_ENGI_DANGER,[!] 
Events,Harmony Sector Events,,EVENT QUEST_ENGI_SLAVE,[!] 
Events,Harmony Sector Events,,EVENT QUEST_ENGI_CRIME,[!] 
Events,Harmony Sector Events,,EVENT ENCOUNTER_MANTIS_ENGI,
Events,Harmony Sector Events,,EVENT ENCOUNTER_PIRATE_ENGI,[!] 
Events,Harmony Sector Events,,EVENT ENCOUNTER_SEPARATIST_ENGI,[!] 
Events,Harmony Sector Events,,EVENT ENCOUNTER_ENGI_ELITE,
Events,Harmony Sector Events,,EVENT HARMONY_LINK_FIGHTMANTIS,
Events,Harmony Sector Events,,EVENT HARMONY_LINK_FIGHTENGI,
Events,Harmony Sector Events,,EVENT HARMONY_LINK_ANCIENT,
Events,Harmony Sector Events,,EVENT TURZIL_PIRATE_TRANSPORT,[!] 
Events,Harmony Sector Events,,EVENT TURZIL_REINFORCEMENTS,
Events,Hektar Mega-Market Events,,EVENT FINISH_BEACON_HEKTAR,
Events,Hektar Mega-Market Events,,EVENT NEBULA_FINISH_BEACON_HEKTAR,
Events,Hektar Mega-Market Events,,EVENT HEKTAR_INVESTOR,[!] 
Events,Hektar Mega-Market Events,,EVENT DISTRESS_HEKTAR_GHETTO,[!] 
Events,Hektar Mega-Market Events,,EVENT HEKTAR_SUZERAIN,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_LIGHT_HEKTAR_RAIN,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_SYLVAN,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_TOYS,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_HOPE,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_FANATIC,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_POWERPLANT,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_REFUEL,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_IKEA,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_HEKTAR_PATENT,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_DISTRESS_HEKTAR_FEMALE,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_DISTRESS_HEKTAR_CRISIS,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_DISTRESS_HEKTAR_DEBTORS,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_DISTRESS_HEKTAR_CHILDREN,[!] 
Events,Hektar Mega-Market Events,,EVENT NEBULA_ENCOUNTER_HEKTAR,
Events,Hektar Mega-Market Events,,EVENT NEBULA_SYLVANHOME,
Events,Hektar Mega-Market Events,,EVENT HEKTAR_HEADQUARTERS,
Events,Hektar Mega-Market Events,,EVENT HEKTAR_SHIPYARDS,
Events,Hive Mantis Sector Events,,EVENT FINISH_BEACON_MANTIS,
Events,Hive Mantis Sector Events,,EVENT MANTIS_VAMPWEED_CURIOUS,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_WARLORD_MUNITIONS,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_SLAVES_EXPENSIVE,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_GAMBLE_MV,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_CAPTURE_SUZERAIN_COMMANDO,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_BROKEN_TELEPORTER,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_PIRATE_FAKE,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_SLUG_TAUNT,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_ALISON_CREW,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_FIGHT_CHOICE,
Events,Hive Mantis Sector Events,,EVENT MANTIS_CIVILIAN,
Events,Hive Mantis Sector Events,,EVENT MANTIS_CREW,[!] 
Events,Hive Mantis Sector Events,,EVENT HIVE_VETERAN,[!] 
Events,Hive Mantis Sector Events,,EVENT HIVE_MANTIS_AUTO_SITUATION,[!] 
Events,Hive Mantis Sector Events,,EVENT HIVE_JAILER_CHOICE,[!] 
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_BISHOP_CHOICE,[!] 
Events,Hive Mantis Sector Events,,EVENT HIVE_SUZERAIN_COMPLEX,[!] 
Events,Hive Mantis Sector Events,,EVENT DISTRESS_MANTIS_FLORAL,[!] 
Events,Hive Mantis Sector Events,,EVENT DISTRESS_MANTIS_DERELICT,[!] 
Events,Hive Mantis Sector Events,,EVENT DISTRESS_SUZERAIN_WARRING,[!] 
Events,Hive Mantis Sector Events,,EVENT QUEST_MANTIS_REFINERY_CONVOY,[!] 
Events,Hive Mantis Sector Events,,EVENT QUEST_MANTIS_REFINERY_INVESTIGATE,
Events,Hive Mantis Sector Events,,EVENT QUEST_HIVE_FREEMANTIS_HUNTER,[!] 
Events,Hive Mantis Sector Events,,EVENT QUEST_HIVE_FREEMANTIS_HUNTER_CAMP,
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_MANTIS_REGULAR,
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_MANTIS_SUN,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_CHASE,[!] 
Events,Hive Mantis Sector Events,,EVENT MANTIS_CHASE2,
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_MANTIS_HIVE_REGULAR,
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_SUZERAIN_HIVE_1,[!] 
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_SUZERAIN_HIVE_2,[!] 
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_COALITION_HIVE,[!] 
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_MANTIS_KAMIKAZE,[!] 
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_MANTIS_STATION_HIVE,[!] 
Events,Hive Mantis Sector Events,,EVENT ENCOUNTER_GUILD_HIVE,[!] 
Events,Hive Mantis Sector Events,,EVENT HIVE_MERCENARY,[!] 
Events,Hive Mantis Sector Events,,EVENT HIVE_MERCENARY_HATCHERY,
Events,Hive Mantis Sector Events,,EVENT HIVE,(sic!)
Events,Illesctrian Oasis Events,,EVENT NEBULA_LIGHT_MONK_GRAVE,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_FREE_CREW,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_CONVERT,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_BEGGAR,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_STRANDED_FED,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_GHOST,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_LIGHT_MONK_ANNOYED,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_CHASE,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_DUSKBRINGERS,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_HOSTAGES,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_PROVERB,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_LOST_MAN,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_LOST_MAN_QUEST,
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_CONVOY,[!] 
Events,IllesS,MONK_CONVOY_DESTINATION,,
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_ZOLTAN_MONK,
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_ZOLTAN_AUTO_MONK,
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_PIRATE_MONK,
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_MANTIS_MONK,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_SLUG_MONK,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_MONK_SMUGGLER_INTERCEPT,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_ENCOUNTER_MONK_SMUGGLER_QUEST,
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_RIFT_FIGHT,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_WEAPON,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_ORCHID,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_SUN,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_ATONEMENT,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_TEMPLE,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_EYE,[!] 
Events,Illesctrian Oasis Events,,EVENT NEBULA_MONK_PEACE_QUEST,[!] 
Events,Illesctrian Oasis Events,,EVENT MONK_PEACE_QUEST2,
Events,Imperial Sector Events,,EVENT FINISH_BEACON_CRYSTAL,
Events,Imperial Sector Events,,EVENT CRYSTAL_FREE,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_FOREIGNER_MAP,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_CACHE_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_SCRAP_EXCITED_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_HUMAN_TESTS_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_CHATTY_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_MONTY,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_AUTO_SURVEYOR,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_TORTURE,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_REBEL_CRYSTAL_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_REBEL_CRYSTAL2_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_MANTIS_CRYSTAL_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_PIRATE_CRYSTAL_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_FED_MV,[!] ---unused
Events,Imperial Sector Events,,EVENT CRYSTAL_FED_DESERTER_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_REQUEST_MV,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_HELP_DIG_MV,[!] 
Events,Imperial Sector Events,,EVENT DISTRESS_CRYSTAL_SICK_FIRE,[!] 
Events,Imperial Sector Events,,EVENT DISTRESS_CRYSTAL_VAGABOND_CONFLICT,[!] 
Events,Imperial Sector Events,,EVENT DISTRESS_REFUGEE_CRYSTAL,[!] 
Events,Imperial Sector Events,,EVENT QUEST_CRYSTAL_REBEL_ATTACK_ORCHID,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_ORCHID_ESCORT_QUEST,
Events,Imperial Sector Events,,EVENT CRYSTALHOME_ZOLTENVOY,[!] 
Events,Imperial Sector Events,,EVENT CRYSTALHOME_ZOLTENVOY_DELIVERY,
Events,Imperial Sector Events,,EVENT ENCOUNTER_CRYSTAL,
Events,Imperial Sector Events,,EVENT ENCOUNTER_CRYSTAL_STATION,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_HUNTER,[!] ---unused
Events,Imperial Sector Events,,EVENT ENCOUNTER_REBEL_CRYSTAL,
Events,Imperial Sector Events,,EVENT ENCOUNTER_ROCK_CRYSTAL,
Events,Imperial Sector Events,,EVENT ENCOUNTER_COALITION_CRYSTAL,
Events,Imperial Sector Events,,EVENT NEBULA_ENCOUNTER_CRYSTAL,
Events,Imperial Sector Events,,EVENT NEBULA_CRYSTAL_MIRROR,[!] 
Events,Imperial Sector Events,,EVENT ENCOUNTER_CRYSTAL_ELITE,[!] 
Events,Imperial Sector Events,,EVENT CRYSTAL_SANCTUARY,[!] 
Events,Jerome Protectorate Events,,EVENT FINISH_BEACON_PROTECTORATE,
Events,Jerome Protectorate Events,,EVENT JERRY_SURRENDER,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_HANGOUT,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_TAXES,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_COLONISTS,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_META_REBELLION,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_COALITION_SPIES,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_DEPOT,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_AUTO_REPLICA,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_MOCKBATTLE,[!] 
Events,Jerome Protectorate Events,,EVENT JERRY_REBEL_DEPRESSED,[!] 
Events,Jerome Protectorate Events,,EVENT DISTRESS_JERRY_SHOOTING_STAR,[!] 
Events,Jerome Protectorate Events,,EVENT DISTRESS_JERRY_ZOO,[!] 
Events,Jerome Protectorate Events,,EVENT QUEST_JERRY_ASSASSINATION,[!] 
Events,Jerome Protectorate Events,,EVENT QUEST_JERRY_ASSASSINATION_SPOT,
Events,Jerome Protectorate Events,,EVENT QUEST_JERRY_ASSASSINATION_REVERSE,
Events,Jerome Protectorate Events,,EVENT QUEST_JERRY_ASSASSINATION_REWARD,
Events,Jerome Protectorate Events,,EVENT ENCOUNTER_TOM,[!] 
Events,Jerome Protectorate Events,,EVENT ENCOUNTER_MV_JERRY,
Events,Jerome Protectorate Events,,EVENT ENCOUNTER_REBEL_JERRY,
Events,Jerome Protectorate Events,,EVENT ENCOUNTER_AUTO_JERRY,
Events,Jerome Protectorate Events,,EVENT JERRY_HOME,[!] 
Events,Kleptocracy Sector Events,,EVENT FINISH_BEACON_SLUG,
Events,Kleptocracy Sector Events,,EVENT ENCOUNTER_SLUG_CLEARING,[!] 
Events,Kleptocracy Sector Events,,EVENT ENCOUNTER_SLUG_PIRATE_CLEARING,
Events,Kleptocracy Sector Events,,EVENT ENCOUNTER_SLUG_REBEL_CLEARING,
Events,Kleptocracy Sector Events,,EVENT ENCOUNTER_SLUG_MANTIS_CLEARING,[!] 
Events,Kleptocracy Sector Events,,EVENT DISTRESS_REFUGEE_SLUG_MV,[!] 
Events,Kleptocracy Sector Events,,EVENT DISTRESS_SLUG_MANTIS_MV,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_HIGH_PRICE,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_BIOLAB,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_MYSTERIOUS_TECH,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_CREW_UPGRADE,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_CASINO,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_ILLEGAL_CLONES,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_STORM_SLUG_POWER,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_DRUGS,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_JAILER,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_REFUGEE_SLUG_MV,
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_DRINK_MV,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_CHOOSE_DEATH_MV,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_HULLFIX_MV,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_ROCK_SLUG_ARGUMENT_MV,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_IMPORTANT_PRISONER,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_LIGHT_SLUG_GRAVE,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_LIGHT_SLUG_MINDSLAVES,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_DISTRESS_TRICK,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_DISTRESS_ROCK,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_DISTRESS_SLUG_QUESTION,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_ROCK_SALTY,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_ROCK_SALTY_HUNT,
Events,Kleptocracy Sector Events,,EVENT NEBULA_QUEST_SLUG_PIRATE_TRAP,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_QUEST_SLUG_PIRATE_TRAP2,
Events,Kleptocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SLUG_REGULAR,
Events,Kleptocracy Sector Events,,EVENT NEBULA_ENCOUNTER_SLUG_STORM,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_MANTIS,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_PIRATE,[!] 
Events,Kleptocracy Sector Events,,EVENT NEBULA_SLUG_INFECTOR,
